Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"Ngõ 192, Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",71 m²,6.9 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",44.2 m²,5.15 tỷ,,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",61 m²,9.8 tỷ,5 m,,,,,,Sổ đỏ/ Sổ hồng,,12 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",60 m²,7.45 tỷ,4.5 m,,,,,,Sổ đỏ/ Sổ hồng,,6 phòng
"Ngõ 298, Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",41 m²,7 tỷ,3.5 m,6 m,Đông - Nam,Đông - Nam,6 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Ngõ 211, Đường Khương Trung, Phường Khương Đình, Thanh Xuân, Hà Nội",71 m²,6.3 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",50 m²,9.15 tỷ,5 m,,,,,,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Hạ Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",75 m²,7.8 tỷ,4 m,,,,,,Sổ đỏ/ Sổ hồng,,
"Phường Ngọc Thụy, Long Biên, Hà Nội",45 m²,1.8 tỷ,,,,,,,,,
"Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội",45 m²,5.7 tỷ,4.18 m,4 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,6 phòng
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",98 m²,10 tỷ,5 m,6 m,,,6 tầng,12 phòng,,CAO CẤP,12 phòng
"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",30 m²,3.05 tỷ,4 m,,,,5 tầng,4 phòng,Đã có sổ,Full nội thất,4 phòng
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",33 m²,3 tỷ,,,,,2 tầng,,Sổ đỏ/ Sổ hồng,,
"Phường Yên Nghĩa, Hà Đông, Hà Nội",30.5 m²,2.4 tỷ,3 m,2.6 m,Đông - Nam,,4 tầng,3 phòng,Sổ đỏ,Full,5 phòng
"Phường Thịnh Liệt, Hoàng Mai, Hà Nội",34 m²,4.5 tỷ,,,,,5 tầng,,,Cơ bản mới 100%,3 phòng
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",50 m²,7.5 tỷ,5 m,6 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",35 m²,3.9 tỷ,4.1 m,,,,5 tầng,,Sổ đỏ.,,3 phòng
"Đường Lương Khánh Thiện, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",100 m²,10 tỷ,5 m,6 m,,,6 tầng,12 phòng,,cao cấp,12 phòng
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",45 m²,4.9 tỷ,5 m,,,,,,Sổ đỏ/ Sổ hồng.,,
"Phố Vũ Tông Phan, Phường Khương Trung, Thanh Xuân, Hà Nội",45 m²,5.1 tỷ,,,,,6 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Nguyễn Thái Học, Phường Yết Kiêu, Hà Đông, Hà Nội",31 m²,3.25 tỷ,3.5 m,,,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội",56 m²,4.3 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,6 phòng
"Phố Nguyễn Ngọc Vũ, Phường Nhân Chính, Thanh Xuân, Hà Nội",40 m²,5.2 tỷ,4 m,7 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ. ,4 phòng
"Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội",35 m²,2.5 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.96 tỷ,3.6 m,2.5 m,Tây - Bắc,Tây - Bắc,5 tầng,4 phòng,,Full nội thất gắn tường,3 phòng
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",52 m²,3.55 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Ngõ 279, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",46 m²,6.35 tỷ,4 m,3.5 m,,,5 tầng,4 phòng,Sổ đỏ.,,6 phòng
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",65 m²,7.7 tỷ,7 m,3 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",38 m²,7.7 tỷ,4 m,3 m,,,6 tầng,,Sổ đỏ/ Sổ hồng,,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",36 m²,7.6 tỷ,8 m,3 m,,,6 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",35 m²,4.1 tỷ,,,,,5 tầng,3 phòng,,"Nội thất trang bị đầy đủ và kỹ lưỡng: Đồ gỗ Lim Nam Phi, thiết bị vệ sinh ToTo nhập khẩu, nóng lạnh Picenza, nhôm kính Vietphap, trang trí đèn chùm, trần thạch cao sang trọng.",3 phòng
"Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",42 m²,4.5 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",50 m²,8.8 tỷ,6 m,3 m,,,6 tầng,13 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ có bảo hành chính hãng,13 phòng
"209, Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",38 m²,3.95 tỷ,,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Nghĩa Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,3.25 tỷ,3.8 m,3 m,Tây - Nam,Tây - Nam,5 tầng,4 phòng,Sổ đỏ,Full nội thất gắn tường,3 phòng
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",39 m²,2.6 tỷ,,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Phố Khương Hạ, Phường Khương Đình, Thanh Xuân, Hà Nội",50 m²,9.5 tỷ,,,,,,,Sổ đỏ.,,4 phòng
"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",73 m²,6.35 tỷ,4 m,2.5 m,,,4 tầng,,,,8 phòng
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",36 m²,4 tỷ,5.4 m,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",55 m²,5.3 tỷ,4 m,,,,4 tầng,4 phòng,Sổ đỏ.,,5 phòng
"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",40 m²,3.75 tỷ,3.7 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",40.1 m²,7.95 tỷ,3.9 m,,,,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Hồ Văn Chương, Phường Văn Chương, Đống Đa, Hà Nội",53.2 m²,9 tỷ,4 m,,,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",42.8 m²,8.5 tỷ,6.3 m,5 m,,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Xã Đàn, Phường Trung Phụng, Đống Đa, Hà Nội",25 m²,2.4 tỷ,3.5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",64 m²,6.5 tỷ,6 m,2.5 m,Tây - Bắc,Tây - Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Giường, tủ quần áo, tủ bếp, điều hòa.",4 phòng
"Đường Khương Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",43 m²,4.7 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đẹp ,7 phòng
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",40 m²,4.4 tỷ,,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.68 tỷ,4 m,3.5 m,Đông,Đông,5 tầng,4 phòng,Sổ đỏ chính chủ,Nội thất cơ bản đầy đủ,3 phòng
"Đường Nguyễn Đức Cảnh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",41 m²,4.5 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",30 m²,2.7 tỷ,3.84 m,3.5 m,Bắc,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,3 phòng
"Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội",36 m²,4.8 tỷ,3.5 m,,,,5 tầng,4 phòng,,Tặng toàn bộ nội thất ,3 phòng
"Phố Lò Đúc, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",36 m²,3.6 tỷ,3.8 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",40 m²,4.3 tỷ,4 m,3 m,,,7 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng,5 phòng
"Ngõ 1, Đường Nguyễn Văn Huyên, Phường Quan Hoa, Cầu Giấy, Hà Nội",56 m²,4.3 tỷ,4 m,3 m,,,5 tầng,,Sổ đỏ/ Sổ hồng,,6 phòng
"Phường Văn Chương, Đống Đa, Hà Nội",15 m²,1.1 tỷ,,,,,3 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,2 phòng
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",44.3 m²,3.25 tỷ,3.35 m,3 m,Đông,Đông,4 tầng,3 phòng,Sổ đỏ.,Full nội thất cơ bản.,4 phòng
"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Hà Đông, Hà Nội",60 m²,4.9 tỷ,5 m,,,,3 tầng,,Sổ đỏ,Nội thất đầy đủ,3 phòng
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",43 m²,4.3 tỷ,4 m,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",38 m²,5.1 tỷ,,3 m,,,6 tầng,,Sổ đỏ/ Sổ hồng,Nội thất Đẹp Hoàn Hảo ,
"Ngõ 354, Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",45 m²,5.8 tỷ,4 m,,,,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Bát Khối, Phường Cự Khối, Long Biên, Hà Nội",40 m²,2.75 tỷ,,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Ngõ 24, Đường Kim Đồng, Phường Tân Mai, Hoàng Mai, Hà Nội",65 m²,9.5 tỷ,,,,,5 tầng,5 phòng,Sổ đỏ.,,6 phòng
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",38 m²,4.55 tỷ,3.9 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Tô Hiệu, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",37 m²,4.9 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",60 m²,9 tỷ,3.5 m,3 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Phường Phú La, Hà Đông, Hà Nội",62 m²,5.6 tỷ,3.5 m,,,,3 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Đống Đa, Hà Nội",45 m²,7.4 tỷ,4 m,,,,5 tầng,,Sổ đỏ,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",31 m²,3.3 tỷ,3.5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",35 m²,6.3 tỷ,4 m,,,,5 tầng,,Sổ đỏ,,
"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",40 m²,8.5 tỷ,4 m,5 m,,,4 tầng,,Sổ đỏ,Nội thất đầy đủ,4 phòng
"Đường An Hòa, Phường Mỗ Lao, Hà Đông, Hà Nội",40 m²,8.5 tỷ,4 m,4.5 m,,,4 tầng,,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,4 phòng
"Đường Lê Lợi, Phường Nguyễn Trãi, Hà Đông, Hà Nội",40 m²,5.5 tỷ,5 m,,,,1 tầng,,Sổ đỏ,,
"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên, Hà Nội",40 m²,3.8 tỷ,4 m,2 m,Tây - Bắc,Tây - Bắc,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản,4 phòng
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",42 m²,7.5 tỷ,4.8 m,,,,5 tầng,,Sổ đỏ.,,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",55 m²,8.3 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",60 m²,8.2 tỷ,10 m,,,,4 tầng,,Sổ đỏ,,
"Phường Phú La, Hà Đông, Hà Nội",62 m²,5.6 tỷ,3.5 m,,,,3 tầng,,Sổ đỏ,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",44 m²,8.3 tỷ,3.7 m,,,,6 tầng,,,,
"Phố Thịnh Hào, Phường Hàng Bột, Đống Đa, Hà Nội",38 m²,4.5 tỷ,5.4 m,,,,4 tầng,,,,
"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",31 m²,7.1 tỷ,4 m,,,,6 tầng,,Sổ đỏ.,,
"Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",54 m²,8.8 tỷ,5 m,,,,6 tầng,5 phòng,Sổ đỏ,Đầy đủ mới hiện đại,6 phòng
"Dự án Thống Nhất Complex, Quận Thanh Xuân, Hà Nội",87 m²,4.295 tỷ,,,Tây - Bắc,Đông - Nam,,2 phòng,,,3 phòng
"Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",55 m²,8 tỷ,,,,,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,,6 phòng
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",47 m²,5.4 tỷ,3.5 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,6 phòng
"Đường Trường Chinh, Phường Phương Liệt, Thanh Xuân, Hà Nội",30 m²,3.38 tỷ,5.6 m,3 m,,,3 tầng,2 phòng,,Đầy đủ,3 phòng
"Đường Khuyến Lương, Phường Trần Phú, Hoàng Mai, Hà Nội",40 m²,2.15 tỷ,3.2 m,2 m,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",56 m²,6.5 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Trung Kiên, Phường Dương Nội, Hà Đông, Hà Nội",32 m²,3.05 tỷ,,,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",54 m²,9.5 tỷ,4 m,6 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",68 m²,4.9 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",53 m²,5.2 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",45 m²,4.2 tỷ,,,,,,,Sổ đỏ/ Sổ hồng.,,2 phòng
"Phường Tương Mai, Hoàng Mai, Hà Nội",60 m²,8.9 tỷ,5 m,,,,6 tầng,15 phòng,Đã có sổ đoe,,15 phòng
"Xã Thạch Hòa, Thạch Thất, Hà Nội",200 m²,36 triệu/m²,12 m,10 m,,,,,Sổ đỏ/ Sổ hồng,,
"Phường Dương Nội, Hà Đông, Hà Nội",35 m²,3.55 tỷ,4.5 m,4 m,Đông - Bắc,Đông - Bắc,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,3 phòng
"Ngõ 88, Đường La Nội, Phường Dương Nội, Hà Đông, Hà Nội",36 m²,2.75 tỷ,4 m,2.5 m,Tây,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,3 phòng
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",32 m²,4.8 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,cơ bản,3 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",58 m²,6.1 tỷ,,,,,4 tầng,,Sổ đỏ.,Nội thất xịn.,3 phòng
"Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",34 m²,2.93 tỷ,3.5 m,3 m,,,5 tầng,4 phòng,Sổ đỏ,Nội thất sang trọng,3 phòng
"Đường 1A, Thị trấn Văn Điển, Thanh Trì, Hà Nội",30 m²,3.45 tỷ,3.2 m,6 m,Đông,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ Bản,2 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",38 m²,2.96 tỷ,4 m,3 m,Đông,Đông,5 tầng,4 phòng,Sổ đỏ,Nội thất cơ bản đầy đủ,4 phòng
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",42 m²,6 tỷ,4 m,3 m,Tây - Nam,Tây - Nam,6 tầng,5 phòng,Sổ đỏ/ sổ hồng,Full nội thất,4 phòng
"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",35 m²,4.5 tỷ,3.6 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,4 phòng
"Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",35 m²,2.5 tỷ,3.5 m,4 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,4 phòng
"Ngõ 47, Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",36 m²,2.39 tỷ,3.5 m,5 m,,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,2 phòng
"Đường Tôn Thất Tùng, Phường Khương Thượng, Đống Đa, Hà Nội",37 m²,3.95 tỷ,3.7 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng,5 phòng
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",79 m²,7.35 tỷ,6 m,3 m,Đông - Nam,Đông - Nam,6 tầng,5 phòng,,Full nội thất,6 phòng
"Đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",32 m²,2.9 tỷ,3.5 m,2.5 m,Tây - Bắc,Tây - Bắc,5 tầng,4 phòng,- Sổ đỏ chính chủ - sẵn sàng giao dịch.,Nội thất cơ bản.,3 phòng
"Đường Miêu Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",46 m²,5 tỷ,3.5 m,4 m,Tây - Nam,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,6 phòng
"Dự án Aurora Garden, Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",32 m²,3.05 tỷ,4 m,3 m,Đông - Nam,Đông - Nam,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,FULL NỘI THẤT,4 phòng
"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",65 m²,6.68 tỷ,4.7 m,2.5 m,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Phường Việt Hưng, Long Biên, Hà Nội",40 m²,2.85 tỷ,3.8 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Phương Canh, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",30 m²,3.85 tỷ,4.6 m,3 m,Tây - Bắc,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,3 phòng
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",30 m²,3.12 tỷ,3.8 m,2.5 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,3 phòng
"Ngõ 165, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",40 m²,4.95 tỷ,4.2 m,15 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,3 phòng
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",45 m²,2.8 tỷ,,,,,,,Sổ đỏ/ Sổ hồng.,,
"Phường Yên Nghĩa, Hà Đông, Hà Nội.",40 m²,2.05 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",40 m²,4.8 tỷ,3.6 m,2.5 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",48 m²,6.5 tỷ,4.5 m,4 m,,,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,6 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội.",40 m²,2.05 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",40 m²,4.8 tỷ,3.6 m,2.5 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",48 m²,6.5 tỷ,4.5 m,4 m,,,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,6 phòng
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",45 m²,3.15 tỷ,3.5 m,2.5 m,Đông - Nam,Đông - Nam,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,4 phòng
"Đường Dốc Thọ Lão, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",40 m²,5.35 tỷ,3.5 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ chính chủ,Nội thất đầy đủ,3 phòng
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",34 m²,3.3 tỷ,3.3 m,3.5 m,Tây - Nam,Tây - Nam,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Miêu Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",47 m²,5 tỷ,3.4 m,5 m,Tây - Nam,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,5 phòng
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",55 m²,3.8 tỷ,,,,,5 tầng,,,,4 phòng
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",32 m²,3.4 tỷ,4 m,2.5 m,Tây - Bắc,,5 tầng,4 phòng,- Sổ đỏ chính chủ - sẵn sàng giao dịch.,Nội thất cơ bản.,3 phòng
"Ngõ 66, Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",44 m²,3.5 tỷ,,,,,,,,,
"Đường Tân Triều, Phường Văn Quán, Hà Đông, Hà Nội",36 m²,2.9 tỷ,4 m,3 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,3 phòng
"Phường Yên Hòa, Cầu Giấy, Hà Nội",36 m²,4 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Phố Khương Hạ, Phường Khương Đình, Thanh Xuân, Hà Nội",48 m²,9.5 tỷ,4.5 m,,,,5 tầng,5 phòng,,,6 phòng
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",40 m²,3.5 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng.,,3 phòng
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",30 m²,3.95 tỷ,6 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng.,,3 phòng
"Ngõ 58, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",46 m²,7.7 tỷ,,6 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",61 m²,7.5 tỷ,4.8 m,,,,5 tầng,9 phòng,"Sổ đẹp, sẵn sàng giao dịch",,9 phòng
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",38 m²,5 tỷ,4.4 m,2.6 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,4 phòng
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",35 m²,3.35 tỷ,4 m,4 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,6 phòng
