Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Phố Xốm, Phường Phú Lương, Hà Đông, Hà Nội",34 m²,2.35 tỷ,3.5 m,40 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Hoàn thiện cơ bản đầy đủ. Trần thạch cao kèm hệ thống đèn led tiết kiệm điện, bếp và cầu thang gỗ tự nhiên, thiết bị vệ sinh cao cấp, cầu thang đá. ",,
"Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",43 m²,3.58 tỷ,4 m,4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ.,Đầy đủ tiện ích.,,
"Phố Tạ Quang Bửu, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",168 m²,23.9 tỷ,,,,6 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Văn Huyên, Phường Quan Hoa, Cầu Giấy, Hà Nội",36 m²,7 tỷ,,,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Giang Văn Minh, Phường Kim Mã, Ba Đình, Hà Nội",40 m²,6.1 tỷ,,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất nhập khẩu cao cấp ,,
"Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",56.2 m²,5 tỷ,4 m,3 m,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",36 m²,2.39 tỷ,3.5 m,5 m,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",70 m²,16.68 tỷ,4 m,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,,
"Đường Đồng Cổ, Phường Bưởi, Tây Hồ, Hà Nội",32 m²,8.4 tỷ,3.6 m,20 m,6 tầng,3 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Sang Trọng,,
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",38 m²,5 tỷ,,2 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất nhập khẩu cao cấp ,,
"Đường Nguyễn Trãi, Phường Trung Văn, Nam Từ Liêm, Hà Nội",78 m²,11.5 tỷ,5 m,5 m,8 tầng,18 phòng,,,FULL,,
"Đường Trung Yên, Phường Trung Hòa, Cầu Giấy, Hà Nội",45 m²,11 tỷ,,,5 tầng,,,,,,
"Phường Dương Nội, Hà Đông, Hà Nội",50 m²,8.3 tỷ,4 m,12 m,4 tầng,4 phòng,4 phòng,,,Đông - Bắc,
"Đường Ngô Gia Tự, Phường Quang Trung, Hà Đông, Hà Nội",42 m²,7.95 tỷ,5.62 m,12 m,4 tầng,5 phòng,3 phòng,Sổ đỏ,Đầy đủ,,
"Đường Ngô Gia Tự, Phường Quang Trung, Hà Đông, Hà Nội",45 m²,7.95 tỷ,5.8 m,18 m,4 tầng,5 phòng,4 phòng,Sổ đỏ,Cao cấp,Tây - Bắc,Tây - Bắc
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",160 m²,15 tỷ,8 m,10 m,8 tầng,5 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,,
"Ngõ 135, Đường Núi Trúc, Phường Giảng Võ, Ba Đình, Hà Nội",25 m²,2.9 tỷ,2.8 m,,4 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",55 m²,5.5 tỷ,,,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 8, Đường Quang Lãm, Phường Phú Lãm, Hà Đông, Hà Nội",35 m²,2.35 tỷ,4 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"83, Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",115 m²,10.5 tỷ,5 m,3 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",52 m²,8.8 tỷ,,3 m,5 tầng,12 phòng,13 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 345, Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",53 m²,5.2 tỷ,4 m,5 m,6 tầng,8 phòng,5 phòng,Sổ đỏ chính chủ.,Nội thất cao cấp,,
"Đường Nguyễn Trãi, Phường Khương Đình, Thanh Xuân, Hà Nội",65 m²,11.2 tỷ,5 m,3 m,8 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Ngõ 86, Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",25 m²,2.95 tỷ,3 m,,3 tầng,2 phòng,2 phòng,,,,
"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",70 m²,4.3 tỷ,,,1 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",73 m²,10.8 tỷ,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 559, Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",74 m²,11.9 tỷ,5.1 m,,6 tầng,9 phòng,10 phòng,Sổ đỏ/ Sổ hồng,,,
"Phường Cát Linh, Đống Đa, Hà Nội",120 m²,27 tỷ,7 m,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Trần Nguyên Đán, Phường Định Công, Hoàng Mai, Hà Nội",75 m²,17 tỷ,5 m,,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,"Nội Thất Cao Cấp, Thang Máy Nhập Khẩu",,
"Ngõ 66, Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",50 m²,7.6 tỷ,4.5 m,4 m,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",75 m²,24.5 tỷ,5 m,6 m,7 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,,
"Đường Hoàng Ngân, Phường Nhân Chính, Thanh Xuân, Hà Nội",56 m²,11.9 tỷ,4.5 m,4 m,8 tầng,13 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",45 m²,5.8 tỷ,3.5 m,2.5 m,5 tầng,3 phòng,3 phòng,Sổ đỏ,Nội thất đầy đủ,,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",45 m²,7.8 tỷ,4 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội Thất Đầy Đủ,,
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.95 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ,"Nội thất bao gồm tủ bếp, đèn chùm, điều hòa, nóng lạnh, kệ tivi, tủ rượu, bếp từ, hút mùi cửa chính, cửa thông phòng gỗ Lim, toàn bộ hệ thống thiết bị vệ sinh, đèn chiếu sáng, trang trí đầy đủ,...",Tây,Tây
"Đường Huyền Kỳ, Phường Phú Lãm, Hà Đông, Hà Nội",35 m²,2.4 tỷ,3.5 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ,Cơ bản đầy đủ,Tây,Tây
"Ngõ 651, Đường Minh Khai, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",86 m²,15 tỷ,5 m,6 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Trung Hòa, Phường Trung Hòa, Cầu Giấy, Hà Nội",130 m²,37.5 tỷ,7 m,,8 tầng,,,Sổ đẹp,,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",50 m²,5.5 tỷ,4.5 m,4.5 m,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,,
"Phố Hào Nam, Phường Cát Linh, Đống Đa, Hà Nội",27 m²,3.4 tỷ,7 m,,5 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",50 m²,3.6 tỷ,4 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"Đường 442B, Xã Vân Canh, Hoài Đức, Hà Nội",39 m²,2.95 tỷ,3.5 m,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Bắc
"Ngõ 154, Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",44 m²,11.6 tỷ,8 m,,7 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội",123 m²,17 tỷ,,,3 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Vũ Thạnh, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",35 m²,3.9 tỷ,4.5 m,5 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp xịn xò.,,
"Số 3, Ngách 12/31, Ngõ 12, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",53.5 m²,8 tỷ,5.1 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Bắc,
"Ngõ 82, Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",32 m²,3.95 tỷ,4 m,3 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Bắc,Bắc
"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",13 m²,1.3 tỷ,3.5 m,4 m,,,,Đã có sổ đỏ,,,
"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",39 m²,3.4 tỷ,,,4 tầng,,,,,,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",33 m²,3.95 tỷ,,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Bắc
"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",55 m²,5.9 tỷ,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Phú Đô, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",31 m²,3.4 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,"Nội thất đầy đủ gồm: Giường tủ, Điều hòa, bình nóng lạnh, thiết bị vệ sinh...",Nam,
"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",60 m²,2.45 tỷ,6 m,3 m,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",30 m²,3.95 tỷ,,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",58 m²,14.8 tỷ,4 m,,7 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 318/54 Ngọc Trì, Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",36 m²,2.75 tỷ,4 m,2.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Ngõ 31, Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội",58 m²,10.7 tỷ,,,6 tầng,,,Sổ đỏ chính chủ.,Full nội thất như ảnh.,,
"Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",80 m²,22.5 tỷ,5.5 m,,7 tầng,,,,,,
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",38 m²,4.3 tỷ,4.5 m,,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",45 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 401, Đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",30 m²,3.7 tỷ,,,5 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",36 m²,3.5 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",30 m²,3.6 tỷ,3.8 m,,5 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",35 m²,4.85 tỷ,3.8 m,4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ, hiện đại.",Tây,
"Phố Ngọc Trì, Phường Thạch Bàn, Long Biên, Hà Nội",46 m²,2.5 tỷ,3.5 m,3.5 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên, Hà Nội",35 m²,3 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",50 m²,9.65 tỷ,4 m,6 m,5 tầng,6 phòng,5 phòng,Sổ đỏ chính chủ,,,
", Xã Đông La, Hoài Đức, Hà Nội",40 m²,2.25 tỷ,4 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,cơ bản đầy đủ,Đông - Nam,Đông - Nam
"Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",40 m²,3 tỷ,4 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",57 m²,15 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Xuân Đỗ, Phường Cự Khối, Long Biên, Hà Nội",35 m²,2.65 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,"Đầy đủ các phòng chức năng, sàn gỗ, cửa gỗ sang trọn.",,
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",55 m²,9.5 tỷ,5 m,5 m,6 tầng,5 phòng,5 phòng,Sổ đỏ.,,,
"Đường Hồ Tùng Mậu, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",41.6 m²,4.5 tỷ,3.8 m,4 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,,
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",33 m²,4.5 tỷ,,3 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng,,
"Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",60 m²,7 tỷ,5.3 m,2.5 m,7 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ chỉ việc khai thác.,,
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",40 m²,3.8 tỷ,3.5 m,4.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"đường Tứ Hiệp, Thị trấn Văn Điển, Thanh Trì, Hà Nội",35 m²,2.65 tỷ,4.2 m,,2 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",35 m²,4.1 tỷ,3.6 m,4 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Khâm Thiên, Phường Trung Phụng, Đống Đa, Hà Nội",37 m²,4.1 tỷ,2.8 m,2 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,Đông - Nam,Đông - Nam
"Phố Đồng Nhân, Xã Đông La, Hoài Đức, Hà Nội",35 m²,1.87 tỷ,3.5 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,cơ bản đầy đủ,Đông - Nam,Đông - Nam
"Đường Trung Yên, Phường Trung Hòa, Cầu Giấy, Hà Nội",110 m²,33 tỷ,,,6 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",40 m²,5.7 tỷ,4 m,2.5 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",65 m²,9.5 tỷ,,,6 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",40 m²,4.85 tỷ,4.5 m,,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",33 m²,5.4 tỷ,3.3 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất ,,
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",50 m²,11.7 tỷ,,,7 tầng,5 phòng,8 phòng,Sổ chính chủ,,,
"Phố Vũ Hữu, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",35 m²,3.6 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",35 m²,5.3 tỷ,4 m,,6 tầng,4 phòng,,Sổ vuông đẹp.,,,
"Phố Trần Cung, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",40 m²,7 tỷ,,,4 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full đồ nội thất.,,
"Ngõ 68, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",58 m²,10.5 tỷ,4.5 m,6 m,5 tầng,6 phòng,6 phòng,,,,
"Đường Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội",38 m²,6.25 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",55 m²,8.8 tỷ,5.6 m,5 m,6 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,,
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",50 m²,11 tỷ,5 m,8 m,7 tầng,3 phòng,5 phòng,Đã có sổ,,,
"Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội",62 m²,15.8 tỷ,4 m,6 m,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",100 m²,21 tỷ,10 m,8 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Trịnh Công Sơn, Phường Quảng An, Tây Hồ, Hà Nội",450 m²,120 tỷ,16 m,15 m,6 tầng,6 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,2.43 tỷ,3.5 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ,Nội thất đầy đủ,Tây - Nam,Tây - Nam
"Phố Pháo Đài Láng, Phường Láng Hạ, Đống Đa, Hà Nội",61 m²,7.5 tỷ,5 m,4 m,5 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",22 m²,1.8 tỷ,,,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,
"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",100 m²,26.6 tỷ,8 m,6 m,7 tầng,20 phòng,20 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",55 m²,26 tỷ,,,7 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",50 m²,6.3 tỷ,5 m,4 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Full.,,
"Đường Bùi Xương Trạch, Phường Khương Trung, Thanh Xuân, Hà Nội",32 m²,4.2 tỷ,,,6 tầng,4 phòng,5 phòng,,,,
"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",36 m²,5.2 tỷ,,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Kim Liên, Phường Kim Liên, Đống Đa, Hà Nội",50 m²,1.55 tỷ,,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,
"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",54 m²,Thỏa thuận,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",36 m²,4.8 tỷ,4.1 m,7 m,5 tầng,4 phòng,,,,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",50 m²,12.3 tỷ,,,,6 phòng,,Sổ đỏ,,,
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",42 m²,5.4 tỷ,4.8 m,6 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông,
"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",65 m²,12.8 tỷ,4.8 m,10 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội Thất Đầy Đủ,,
"Đường Trung Văn, Phường Trung Văn, Nam Từ Liêm, Hà Nội",46 m²,6.5 tỷ,,,,,,,,,
"Đường Lương Thế Vinh, Phường Trung Văn, Nam Từ Liêm, Hà Nội",48 m²,5.1 tỷ,,,,,,,,,
"Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",72 m²,5.5 tỷ,4 m,3 m,3 tầng,3 phòng,3 phòng,Sổ đỏ chính chủ,Nội thất đầy đủ,,
"Đường Duy Tân, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",60 m²,18.8 tỷ,,,7 tầng,,,Sổ đỏ,,,
"Ngõ 290, Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",46 m²,5.4 tỷ,4.2 m,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Ngõ 192, Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",60 m²,12.2 tỷ,,,7 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",43 m²,4.37 tỷ,5.2 m,2.5 m,4 tầng,4 phòng,,Sổ đỏ,Đầy đủ,,
"Phố Trần Quốc Hoàn, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",48 m²,9.6 tỷ,,,4 tầng,,,Sổ đỏ,,,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",43 m²,4.37 tỷ,5.2 m,2.5 m,4 tầng,3 phòng,,,,,
"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",45 m²,6.8 tỷ,,,7 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",55 m²,5.1 tỷ,5 m,,5 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",70 m²,13 tỷ,4.5 m,4 m,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,Đông,Đông
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",61 m²,17 tỷ,8 m,5.5 m,4 tầng,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,
"Ngõ 207, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",67.8 m²,1.9 tỷ,5 m,4 m,2 tầng,4 phòng,3 phòng,Đang chờ sổ,,,
"Ngõ 38, Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",36 m²,Thỏa thuận,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Phường Trương Định, Hai Bà Trưng, Hà Nội",35 m²,1.95 tỷ,,,3 tầng,,,Đã có sổ đỏ,,,
"Phố Chùa Bộc, Phường Trung Liệt, Đống Đa, Hà Nội",40 m²,3.38 tỷ,,,4 tầng,3 phòng,3 phòng,Sổ đỏ,,,
"Ngõ 23, Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",38 m²,4.9 tỷ,6 m,3.2 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,
"Đường Tân Xuân, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",38 m²,3.1 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",30 m²,2.7 tỷ,3.84 m,3.5 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,Bắc,
"Đường Lê Lai, Phường Hà Cầu, Hà Đông, Hà Nội",37 m²,7.5 tỷ,3.5 m,,6 tầng,5 phòng,6 phòng,,,Đông,
"Ngõ 210, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội.",66 m²,9.5 tỷ,7.3 m,2 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Hào Nam, Phường Cát Linh, Đống Đa, Hà Nội",46 m²,6.9 tỷ,,,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",35 m²,3.45 tỷ,3 m,2 m,4 tầng,4 phòng,4 phòng,Sổ đỏ,,,
